species	qma	stat	zone
PDO	PDO4	051	051
PDO	PDO4	052	052
PDO	PDO4	401	401
PDO	PDO4	402	401
PDO	PDO4	403	403
PDO	PDO4	404	403
PDO	PDO4	405	049
PDO	PDO4	406	050
PDO	PDO5	502	030
PDO	PDO5	503	029
PDO	PDO5	026	025
PDO	PDO5	027	027
PDO	PDO5	028	029
PDO	PDO5	031	031
PDO	PDO5	032	032
PDO	PDO5	025	025
PDO	PDO5	029	029
PDO	PDO5	030	030
PDO	PDO5	501	031
PDO	PDO5	504	027
PDO	PDO8	036	040
PDO	PDO8	040	040
PDO	PDO8	037	039
PDO	PDO8	039	039
PDO	PDO8	041	041
PDO	PDO8	016	039
PDO	PDO8	017	039
PDO	PDO8	801	041
PDO	PDO7	704	035
PDO	PDO7	705	034
PDO	PDO7	702	036
PDO	PDO7	703	036
PDO	PDO7	018	038
PDO	PDO7	032	033
PDO	PDO7	033	033
PDO	PDO7	034	034
PDO	PDO7	035	035
PDO	PDO7	036	036
PDO	PDO7	040	037
PDO	PDO7	037	037
PDO	PDO7	039	038
PDO	PDO7	038	038
PDO	PDO7	017	038
PDO	PDO7	701	036
PDO	PDO7	706	033
PDO	PDO3	301	024
PDO	PDO3	018	018
PDO	PDO3	020	020
PDO	PDO3	023	022
PDO	PDO3	022	022
PDO	PDO3	024	024
PDO	PDO3	026	026
PDO	PDO3	027	026
PDO	PDO3	303	026
PDO	PDO3	302	026
PDO	PDO3	019	018
PDO	PDO3	021	020
PDO	PDO9	102	046
PDO	PDO9	103	047
PDO	PDO9	041	042
PDO	PDO9	042	042
PDO	PDO9	046	046
PDO	PDO9	044	045
PDO	PDO9	043	042
PDO	PDO9	048	048
PDO	PDO9	047	047
PDO	PDO9	101	042
PDO	PDO9	104	048
PDO	PDO9	045	045
PDO	PDO1	107	008
PDO	PDO1	004	004
PDO	PDO1	008	008
PDO	PDO1	006	005
PDO	PDO1	007	005
PDO	PDO1	009	009
PDO	PDO1	010	010
PDO	PDO1	009H	009
PDO	PDO1	003	003
PDO	PDO1	005	005
PDO	PDO1	106	002
PDO	PDO1	001	001
PDO	PDO1	002	002
PDO	PDO1	105	001
PDO	PDO2	203	013
PDO	PDO2	202	012
PDO	PDO2	204	014
PDO	PDO2	201	011
PDO	PDO2	011	011
PDO	PDO2	012	012
PDO	PDO2	015	015
PDO	PDO2	018	015
PDO	PDO2	016	015
PDO	PDO2	017	015
PDO	PDO2	013	013
PDO	PDO2	014	014
PDO	PDO2	205	015
PDO	PDO2	206	015
PDO	PDO2	019	015
PHC	PHC1	092	091
PHC	PHC1	203	013
PHC	PHC1	412	051
PHC	PHC1	301	024
PHC	PHC1	608	601
PHC	PHC1	602	601
PHC	PHC1	623	601
PHC	PHC1	622	601
PHC	PHC1	625	601
PHC	PHC1	502	030
PHC	PHC1	704	035
PHC	PHC1	102	046
PHC	PHC1	091	091
PHC	PHC1	202	012
PHC	PHC1	204	014
PHC	PHC1	411	052
PHC	PHC1	615	601
PHC	PHC1	613	601
PHC	PHC1	601	601
PHC	PHC1	618	601
PHC	PHC1	705	034
PHC	PHC1	702	036
PHC	PHC1	103	047
PHC	PHC1	107	008
PHC	PHC1	410	403
PHC	PHC1	408	401
PHC	PHC1	614	601
PHC	PHC1	616	601
PHC	PHC1	619	601
PHC	PHC1	503	029
PHC	PHC1	703	036
PHC	PHC1	409	403
PHC	PHC1	407	401
PHC	PHC1	609	601
PHC	PHC1	617	601
PHC	PHC1	620	601
PHC	PHC1	607	601
PHC	PHC1	621	601
PHC	PHC1	624	601
PHC	PHC1	093	091
PHC	PHC1	094	091
PHC	PHC1	201	011
PHC	PHC1	004	004
PHC	PHC1	008	008
PHC	PHC1	006	005
PHC	PHC1	007	005
PHC	PHC1	009	009
PHC	PHC1	010	010
PHC	PHC1	011	011
PHC	PHC1	012	012
PHC	PHC1	015	015
PHC	PHC1	018	018
PHC	PHC1	020	020
PHC	PHC1	023	022
PHC	PHC1	022	022
PHC	PHC1	024	024
PHC	PHC1	026	026
PHC	PHC1	027	027
PHC	PHC1	028	029
PHC	PHC1	031	031
PHC	PHC1	032	032
PHC	PHC1	025	025
PHC	PHC1	033	033
PHC	PHC1	034	034
PHC	PHC1	035	035
PHC	PHC1	036	036
PHC	PHC1	040	040
PHC	PHC1	037	037
